date,side,symbol,shares,price,value,rating,entry_date,entry_price,cost_basis,pnl,pnl_pct,holding_days
2026-01-02,BUY,FOX,304.84363018638504,65.60740661621094,20000.0,90.0,,,,,,
2026-01-02,BUY,GS,22.08572466728356,905.5623168945312,20000.0,90.0,,,,,,
2026-01-02,BUY,MS,111.15077928168198,179.93576049804688,20000.0,90.0,,,,,,
2026-01-02,BUY,RTX,107.61021771627789,185.85595703125,20000.0,90.0,,,,,,
2026-01-02,BUY,HAL,681.8374972258671,29.332502365112305,20000.0,83.75,,,,,,
2026-01-05,SELL,FOX,304.84363018638504,67.39778900146484,20545.78666574256,90.0,2026-01-02,65.60740661621094,20000.0,545.7866657425584,0.02728933328712792,3.0
2026-01-05,SELL,MS,111.15077928168198,184.52565002441406,20510.16979767254,90.0,2026-01-02,179.93576049804688,20000.0,510.1697976725409,0.025508489883627045,3.0
2026-01-05,SELL,RTX,107.61021771627789,186.85841369628906,20107.87457997599,90.0,2026-01-02,185.85595703125,20000.0,107.87457997598904,0.0053937289987994515,3.0
2026-01-05,SELL,GS,22.08572466728356,939.3348999023438,20745.891969613527,88.75,2026-01-02,905.5623168945312,20000.0,745.8919696135272,0.03729459848067636,3.0
2026-01-06,SELL,HAL,681.8374972258671,30.5513858795166,20831.080484871294,82.75,2026-01-02,29.332502365112305,20000.0,831.0804848712942,0.04155402424356471,4.0
2026-01-09,BUY,CHRW,121.15158957495052,169.60702514648438,20548.160699575186,90.0,,,,,,
2026-01-09,BUY,DAL,285.6957015639574,71.9232406616211,20548.160699575186,90.0,,,,,,
2026-01-09,BUY,DD,157.59328805345677,130.3872833251953,20548.160699575186,90.0,,,,,,
2026-01-09,BUY,EXPD,129.98962217733467,158.0753936767578,20548.160699575186,90.0,,,,,,
2026-01-09,BUY,FDX,82.27611911226579,249.74635314941406,20548.160699575186,90.0,,,,,,
2026-01-12,SELL,DAL,285.6957015639574,70.65008544921875,20184.42572796809,84.0,2026-01-09,71.9232406616211,20548.160699575186,-363.73497160709667,-0.017701582974996712,3.0
2026-01-12,SELL,DD,157.59328805345677,129.25633239746094,20369.930424246417,79.0,2026-01-09,130.3872833251953,20548.160699575186,-178.2302753287695,-0.008673782434086874,3.0
2026-01-12,SELL,FDX,82.27611911226579,249.39456176757812,20519.216669940586,79.0,2026-01-09,249.74635314941406,20548.160699575186,-28.944029634600156,-0.0014085946697505896,3.0
2026-01-13,SELL,EXPD,129.98962217733467,159.8661651611328,20780.942408235038,79.0,2026-01-09,158.0753936767578,20548.160699575186,232.78170865985157,0.011328591014214918,4.0
2026-01-14,SELL,CHRW,121.15158957495052,171.1365203857422,20733.46147905859,79.0,2026-01-09,169.60702514648438,20548.160699575186,185.30077948340477,0.00901787669429876,5.0
2026-01-16,BUY,CMI,35.670760313248095,575.1936645507812,20517.595341889744,100.0,,,,,,
2026-01-16,BUY,AME,95.43696160082808,214.98583984375,20517.595341889744,90.0,,,,,,
2026-01-16,BUY,CHRW,117.53019744277691,174.57296752929688,20517.595341889744,90.0,,,,,,
2026-01-16,BUY,CASY,32.09036864768283,639.3692626953125,20517.595341889744,90.0,,,,,,
2026-01-16,BUY,EIX,332.83132398102117,61.645626068115234,20517.595341889744,90.0,,,,,,
2026-01-20,SELL,CHRW,117.53019744277691,173.9075469970703,20439.388335354677,79.0,2026-01-16,174.57296752929688,20517.595341889744,-78.2070065350672,-0.0038117043070537548,4.0
2026-01-20,SELL,CMI,35.670760313248095,562.138671875,20051.913827260745,79.0,2026-01-16,575.1936645507812,20517.595341889744,-465.68151462899914,-0.022696690663268935,4.0
2026-01-20,SELL,AME,95.43696160082808,212.48358154296875,20278.78741252273,68.0,2026-01-16,214.98583984375,20517.595341889744,-238.80792936701255,-0.011639177271395464,4.0
2026-01-20,SELL,EIX,332.83132398102117,59.19521713256836,19702.022491576754,52.6,2026-01-16,61.645626068115234,20517.595341889744,-815.5728503129903,-0.039749923747052184,4.0
2026-01-21,SELL,CASY,32.09036864768283,624.4036254882812,20037.342526868633,68.0,2026-01-16,639.3692626953125,20517.595341889744,-480.252815021111,-0.023406876245414734,5.0
2026-01-26,BUY,BKR,359.6588430571791,55.89155197143555,20101.89091871671,93.75,,,,,,
2026-01-26,BUY,DD,152.8102894213089,131.5480194091797,20101.89091871671,90.0,,,,,,
2026-01-26,BUY,JNJ,91.76475740832672,219.05894470214844,20101.89091871671,90.0,,,,,,
2026-01-26,BUY,TSN,320.652093588776,62.69065856933594,20101.89091871671,90.0,,,,,,
2026-01-26,BUY,FCX,329.346993046555,61.03559875488281,20101.89091871671,88.75,,,,,,
2026-01-27,SELL,DD,152.8102894213089,132.76824951171875,20288.3546338463,90.0,2026-01-26,131.5480194091797,20101.89091871671,186.46371512959013,0.009275929109533435,1.0
2026-01-27,SELL,JNJ,91.76475740832672,221.9765625,20369.625408146774,90.0,2026-01-26,219.05894470214844,20101.89091871671,267.7344894300659,0.013318870872032266,1.0
2026-01-27,SELL,TSN,320.652093588776,64.6777114868164,20739.043596778505,85.0,2026-01-26,62.69065856933594,20101.89091871671,637.1526780617969,0.031696156378430505,1.0
2026-01-27,SELL,BKR,359.6588430571791,56.10006332397461,20176.883870535195,83.75,2026-01-26,55.89155197143555,20101.89091871671,74.9929518184872,0.003730641665588876,1.0
2026-01-27,SELL,FCX,329.346993046555,62.73186492919922,20660.551082634403,83.75,2026-01-26,61.03559875488281,20101.89091871671,558.6601639176952,0.027791423512179704,1.0
